,Country,Year,Fuente de Energía,Consumo [GWh]
152,Algeria,1965,Wind,
7267,Algeria,1965,Hydro,1182.7958
14382,Algeria,1965,Solar,
21497,Algeria,1965,Nuclear,0.0
28612,Algeria,1965,Combustible Renewables,
35727,Algeria,1965,Other Renewables,
42842,Algeria,1965,Coal-Peat and Manufactured Gases,814.09997
49957,Algeria,1965,Oil and Petroleum Products,15405.2515
57072,Algeria,1965,Natural Gas,7430.5
153,Algeria,1966,Wind,
7268,Algeria,1966,Hydro,1049.7311
14383,Algeria,1966,Solar,
21498,Algeria,1966,Nuclear,0.0
28613,Algeria,1966,Combustible Renewables,
35728,Algeria,1966,Other Renewables,
42843,Algeria,1966,Coal-Peat and Manufactured Gases,790.83997
49958,Algeria,1966,Oil and Petroleum Products,20272.704999999998
57073,Algeria,1966,Natural Gas,7719.249699999999
154,Algeria,1967,Wind,
7269,Algeria,1967,Hydro,1212.3654999999999
14384,Algeria,1967,Solar,
21499,Algeria,1967,Nuclear,0.0
28614,Algeria,1967,Combustible Renewables,
35729,Algeria,1967,Other Renewables,
42844,Algeria,1967,Coal-Peat and Manufactured Gases,604.76
49959,Algeria,1967,Oil and Petroleum Products,18942.03
57074,Algeria,1967,Natural Gas,7488.25
155,Algeria,1968,Wind,
7270,Algeria,1968,Hydro,1664.7849999999999
14385,Algeria,1968,Solar,
21500,Algeria,1968,Nuclear,0.0
28615,Algeria,1968,Combustible Renewables,
35730,Algeria,1968,Other Renewables,
42845,Algeria,1968,Coal-Peat and Manufactured Gases,639.6500000000001
49960,Algeria,1968,Oil and Petroleum Products,20167.301
57075,Algeria,1968,Natural Gas,7873.25
156,Algeria,1969,Wind,
7271,Algeria,1969,Hydro,1067.473
14386,Algeria,1969,Solar,
21501,Algeria,1969,Nuclear,0.0
28616,Algeria,1969,Combustible Renewables,
35731,Algeria,1969,Other Renewables,
42846,Algeria,1969,Coal-Peat and Manufactured Gases,814.09997
49961,Algeria,1969,Oil and Petroleum Products,21305.931
57076,Algeria,1969,Natural Gas,10351.687
157,Algeria,1970,Wind,
7272,Algeria,1970,Hydro,1715.0539
14387,Algeria,1970,Solar,
21502,Algeria,1970,Nuclear,0.0
28617,Algeria,1970,Combustible Renewables,
35732,Algeria,1970,Other Renewables,
42847,Algeria,1970,Coal-Peat and Manufactured Gases,965.28995
49962,Algeria,1970,Oil and Petroleum Products,24347.68
57077,Algeria,1970,Natural Gas,9730.875
158,Algeria,1971,Wind,
7273,Algeria,1971,Hydro,975.80636
14388,Algeria,1971,Solar,
21503,Algeria,1971,Nuclear,0.0
28618,Algeria,1971,Combustible Renewables,
35733,Algeria,1971,Other Renewables,
42848,Algeria,1971,Coal-Peat and Manufactured Gases,267.49
49963,Algeria,1971,Oil and Petroleum Products,27440.048000000003
57078,Algeria,1971,Natural Gas,11049.4995
159,Algeria,1972,Wind,
7274,Algeria,1972,Hydro,1463.7096999999999
14389,Algeria,1972,Solar,
21504,Algeria,1972,Nuclear,0.0
28619,Algeria,1972,Combustible Renewables,
35734,Algeria,1972,Other Renewables,
42849,Algeria,1972,Coal-Peat and Manufactured Gases,232.59999000000002
49964,Algeria,1972,Oil and Petroleum Products,30121.414
57079,Algeria,1972,Natural Gas,12830.125
160,Algeria,1973,Wind,
7275,Algeria,1973,Hydro,2223.6557000000003
14390,Algeria,1973,Solar,
21505,Algeria,1973,Nuclear,0.0
28620,Algeria,1973,Combustible Renewables,
35735,Algeria,1973,Other Renewables,
42850,Algeria,1973,Coal-Peat and Manufactured Gases,267.49
49965,Algeria,1973,Oil and Petroleum Products,32900.345
57080,Algeria,1973,Natural Gas,17859.186
161,Algeria,1974,Wind,
7276,Algeria,1974,Hydro,1469.6236000000001
14391,Algeria,1974,Solar,
21506,Algeria,1974,Nuclear,0.0
28621,Algeria,1974,Combustible Renewables,
35736,Algeria,1974,Other Renewables,
42851,Algeria,1974,Coal-Peat and Manufactured Gases,220.96999
49966,Algeria,1974,Oil and Petroleum Products,36543.840000000004
57081,Algeria,1974,Natural Gas,20674.5
162,Algeria,1975,Wind,
7277,Algeria,1975,Hydro,969.8925
14392,Algeria,1975,Solar,
21507,Algeria,1975,Nuclear,0.0
28622,Algeria,1975,Combustible Renewables,
35737,Algeria,1975,Other Renewables,
42852,Algeria,1975,Coal-Peat and Manufactured Gases,279.12
49967,Algeria,1975,Oil and Petroleum Products,40630.670000000006
57082,Algeria,1975,Natural Gas,28490.0
163,Algeria,1976,Wind,
7278,Algeria,1976,Hydro,1150.2688
14393,Algeria,1976,Solar,
21508,Algeria,1976,Nuclear,0.0
28623,Algeria,1976,Combustible Renewables,
35738,Algeria,1976,Other Renewables,
42853,Algeria,1976,Coal-Peat and Manufactured Gases,546.6099399999999
49968,Algeria,1976,Oil and Petroleum Products,46717.73
57083,Algeria,1976,Natural Gas,33687.5
164,Algeria,1977,Wind,
7279,Algeria,1977,Hydro,795.43
14394,Algeria,1977,Solar,
21509,Algeria,1977,Nuclear,0.0
28624,Algeria,1977,Combustible Renewables,
35739,Algeria,1977,Other Renewables,
42854,Algeria,1977,Coal-Peat and Manufactured Gases,709.43
49969,Algeria,1977,Oil and Petroleum Products,52806.49
57084,Algeria,1977,Natural Gas,35901.253
165,Algeria,1978,Wind,
7280,Algeria,1978,Hydro,739.24726
14395,Algeria,1978,Solar,
21510,Algeria,1978,Nuclear,0.0
28625,Algeria,1978,Combustible Renewables,
35740,Algeria,1978,Other Renewables,
42855,Algeria,1978,Coal-Peat and Manufactured Gases,360.53000000000003
49970,Algeria,1978,Oil and Petroleum Products,54607.944
57085,Algeria,1978,Natural Gas,57653.75
166,Algeria,1979,Wind,
7281,Algeria,1979,Hydro,860.4839
14396,Algeria,1979,Solar,
21511,Algeria,1979,Nuclear,0.0
28626,Algeria,1979,Combustible Renewables,
35741,Algeria,1979,Other Renewables,
42856,Algeria,1979,Coal-Peat and Manufactured Gases,837.36
49971,Algeria,1979,Oil and Petroleum Products,65318.619999999995
57086,Algeria,1979,Natural Gas,81523.74
167,Algeria,1980,Wind,
7282,Algeria,1980,Hydro,759.94605
14397,Algeria,1980,Solar,
21512,Algeria,1980,Nuclear,0.0
28627,Algeria,1980,Combustible Renewables,
35742,Algeria,1980,Other Renewables,
